epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,395.728,0.89967,0.65813,1.16923,0.96003,0.97436,0.99178,0.73978,1.02607,0.42204,1.25693,0.0005941,0.0005941,0.0005941
43,405.056,0.93619,0.69711,1.18967,0.95204,0.97619,0.98256,0.71692,0.98727,0.42396,1.2187,0.0005842,0.0005842,0.0005842
44,414.495,0.92456,0.68814,1.18156,0.9547,0.97143,0.97826,0.69905,1.0473,0.43293,1.24621,0.0005743,0.0005743,0.0005743
45,423.955,0.91441,0.66225,1.18474,0.94111,0.95238,0.95915,0.71171,0.99414,0.41769,1.21073,0.0005644,0.0005644,0.0005644
46,433.255,0.94549,0.66856,1.18759,0.9339,0.95306,0.98731,0.74312,0.9667,0.38947,1.18371,0.0005545,0.0005545,0.0005545
47,442.689,0.9316,0.67482,1.17944,0.95521,0.97619,0.97279,0.72489,0.94844,0.41971,1.19358,0.0005446,0.0005446,0.0005446
48,452.297,0.89435,0.64458,1.16969,0.96785,0.9557,0.96734,0.7195,0.96177,0.43125,1.17865,0.0005347,0.0005347,0.0005347
49,461.61,0.87467,0.64326,1.15229,0.9531,0.97619,0.98624,0.75124,0.93965,0.39488,1.15797,0.0005248,0.0005248,0.0005248
50,470.853,0.8742,0.63354,1.14399,0.98093,0.97619,0.99344,0.76894,0.88744,0.37524,1.1413,0.0005149,0.0005149,0.0005149
51,480.082,0.87265,0.63284,1.15668,0.99165,0.97215,0.99344,0.76001,0.93714,0.37251,1.19206,0.000505,0.000505,0.000505
52,489.454,0.85946,0.64419,1.13977,0.97172,0.9783,0.975,0.73088,0.93207,0.40583,1.18106,0.0004951,0.0004951,0.0004951
53,498.923,0.87554,0.64007,1.16726,0.97156,0.97924,0.99143,0.7101,1.0438,0.38387,1.2601,0.0004852,0.0004852,0.0004852
54,508.177,0.87227,0.61391,1.14495,0.97061,0.97619,0.97492,0.7139,0.99625,0.4117,1.21741,0.0004753,0.0004753,0.0004753
55,517.441,0.84032,0.59732,1.12737,0.96929,0.97619,0.98304,0.72605,0.94373,0.39583,1.17253,0.0004654,0.0004654,0.0004654
56,526.757,0.86646,0.64247,1.14055,0.97099,0.97619,0.97756,0.74071,0.9687,0.38856,1.21129,0.0004555,0.0004555,0.0004555
57,536.112,0.85147,0.60992,1.1425,0.969,0.97619,0.96777,0.7069,0.98245,0.41802,1.2042,0.0004456,0.0004456,0.0004456
58,545.49,0.84116,0.60418,1.12768,0.9689,0.97619,0.98172,0.72222,1.08782,0.43785,1.27563,0.0004357,0.0004357,0.0004357
59,554.912,0.86386,0.62011,1.14892,0.96943,0.97619,0.98494,0.73758,0.97664,0.38748,1.20016,0.0004258,0.0004258,0.0004258
60,564.24,0.8211,0.61417,1.13428,0.97043,0.97619,0.98267,0.75804,0.96974,0.41951,1.20337,0.0004159,0.0004159,0.0004159
61,573.598,0.83244,0.59717,1.12882,0.96738,0.9588,0.99178,0.74533,1.00339,0.39854,1.21585,0.000406,0.000406,0.000406
62,582.97,0.84624,0.6039,1.13902,0.96871,0.97619,0.99178,0.77061,0.93684,0.35732,1.15611,0.0003961,0.0003961,0.0003961
63,592.27,0.81625,0.58181,1.11981,0.96975,0.97619,0.98987,0.7547,0.92473,0.38337,1.17447,0.0003862,0.0003862,0.0003862
64,601.664,0.83566,0.61094,1.13792,0.94006,0.95351,0.98984,0.74432,0.98702,0.43018,1.19837,0.0003763,0.0003763,0.0003763
65,610.98,0.83579,0.6054,1.13179,0.96918,0.95724,0.98851,0.75758,0.96591,0.40657,1.2297,0.0003664,0.0003664,0.0003664
66,620.271,0.80505,0.57563,1.11711,0.91625,0.98002,0.9731,0.71529,1.00766,0.40639,1.23351,0.0003565,0.0003565,0.0003565
67,629.71,0.82969,0.58935,1.12031,0.97037,0.97619,0.98797,0.76709,0.96419,0.37313,1.18045,0.0003466,0.0003466,0.0003466
68,639.172,0.82241,0.61368,1.12953,0.96745,0.97619,0.99178,0.74741,0.95185,0.36171,1.21084,0.0003367,0.0003367,0.0003367
69,648.557,0.81615,0.57679,1.11004,0.94824,0.97619,0.98529,0.77186,0.95906,0.40232,1.19796,0.0003268,0.0003268,0.0003268
70,657.874,0.81048,0.59773,1.12905,0.96346,0.97619,0.98494,0.7573,0.95873,0.37889,1.20523,0.0003169,0.0003169,0.0003169
